shape,size,depth,hardware_type,Energy test,Accuracy test,Loss test
rectangle,16384.0,4.0,cpu1,518025.4375,0.95689285,0.15712291
rectangle,16384.0,4.0,gpu1,2053637.25,0.95689285,0.15712291
rectangle,16384.0,5.0,cpu1,554167.625,0.95432144,0.16735822
rectangle,16384.0,5.0,gpu1,2132026.25,0.95432144,0.16735822
rectangle,16384.0,6.0,cpu2,607631.6875,0.95428574,0.16981693
rectangle,16384.0,6.0,gpu2,2163150.25,0.95428574,0.16981693
rectangle,16384.0,7.0,cpu1,575270.5625,0.95089287,0.18270728
rectangle,16384.0,7.0,gpu1,2158968.5,0.95089287,0.18270728
rectangle,16384.0,8.0,cpu2,541901.0625,0.94771427,0.19724585
rectangle,16384.0,9.0,cpu1,649527.5625,0.94610715,0.20687984
rectangle,16384.0,9.0,gpu2,2283700.5,0.94610715,0.20687984
rectangle,16384.0,10.0,cpu1,662909.625,0.9408214,0.2269659
rectangle,16384.0,10.0,gpu2,2236559.25,0.9408214,0.2269659
rectangle,16384.0,12.0,cpu1,881979.375,0.9390714,0.23671341
rectangle,16384.0,12.0,gpu1,2377385.0,0.9390714,0.23671341
rectangle,16384.0,14.0,cpu1,840299.5,0.93042856,0.2798497
rectangle,16384.0,16.0,cpu1,865655.625,0.92475,0.31138027
rectangle,16384.0,16.0,gpu1,2442008.0,0.92475,0.31138027
rectangle,16384.0,18.0,cpu1,888603.6875,0.92157143,0.3544647
rectangle,16384.0,18.0,gpu2,2526119.25,0.92157143,0.3544647
rectangle,16384.0,20.0,gpu2,2640528.5,0.91921425,0.35955882
rectangle,32768.0,2.0,cpu1,673548.5,0.9680714,0.112721175
